Age,Income,LoanAmount,CreditScore,YearsExperience,Gender,Education,City,EmploymentType,LoanApproved,GenderMapping,DeptToIncome(%),Age_group,IncomeOutlier,loanOutlier
56,48353,31258,675,20,Female,"High School",Houston,Unemployed,0,0,64,middle_age,no,no
69,57462,23262,586,6,Male,"High School","San Francisco",Self-Employed,0,1,40,senior,no,no
46,44219,26530,781,26,Male,PhD,Houston,Self-Employed,1,1,59,middle_age,no,no
32,56307,11531,549,11,Male,Bachelors,"New York",Unemployed,0,1,20,adulting,no,no
60,37034,27871,500,19,Female,"High School",Chicago,Unemployed,0,0,75,middle_age,no,no
25,47886,18106,835,13,Male,Masters,"New York",Salaried,1,1,37,young,no,no
38,54748,25374,760,9,Female,"High School","New York",Self-Employed,1,0,46,adulting,no,no
56,49738,6279,599,22,Male,PhD,"New York",Unemployed,0,1,12,middle_age,no,no
36,25918,25041,777,29,Female,Bachelors,"San Francisco",Unemployed,0,0,96,adulting,no,no
40,43415,2065,382,30,Female,"High School","San Francisco",Self-Employed,0,0,4,adulting,no,no
28,75162,17793,757,9,Female,PhD,"New York",Unemployed,0,0,23,young,no,no
28,42613,6356,597,18,Female,"High School","San Francisco",Self-Employed,0,0,14,young,no,no
41,50237,25064,663,18,Female,PhD,Houston,Unemployed,0,0,49,adulting,no,no
53,48699,20554,575,22,Female,Bachelors,Chicago,Self-Employed,0,0,42,middle_age,no,no
57,49738,13834,639,31,Male,Masters,"San Francisco",Salaried,1,1,27,middle_age,no,no
41,69356,31475,815,19,Female,Bachelors,"San Francisco",Unemployed,0,0,45,adulting,no,no
20,62113,12827,407,3,Male,Bachelors,"New York",Unemployed,1,1,20,young,no,no
39,35401,-4250,615,32,Female,PhD,Chicago,Unemployed,0,0,-12,adulting,no,yes
19,55388,24109,413,0,Female,PhD,Houston,Salaried,0,0,43,young,no,no
41,49738,5867,466,12,Male,Bachelors,Houston,Unemployed,0,1,11,adulting,no,no
61,39521,13080,560,2,Female,Masters,Chicago,Unemployed,0,0,33,senior,no,no
47,36942,15861,523,11,Male,Masters,Houston,Self-Employed,1,1,42,middle_age,no,no
55,75575,8608,561,28,Female,"High School",Chicago,Unemployed,0,0,11,middle_age,no,no
19,45488,16050,550,30,Male,Masters,"New York",Unemployed,0,1,35,young,no,no
38,74225,8758,825,35,Male,Bachelors,Houston,Self-Employed,1,1,11,adulting,no,no
50,64956,21299,425,1,Female,Bachelors,Houston,Salaried,0,0,32,middle_age,no,no
29,56118,10170,505,21,Male,Masters,Chicago,Salaried,0,1,18,young,no,no
39,56788,20241,439,21,Male,Masters,Houston,Self-Employed,0,1,35,adulting,no,no
61,28994,29296,361,30,Female,Bachelors,"San Francisco",Salaried,0,0,101,senior,no,no
42,53102,26259,582,13,Female,Bachelors,"New York",Salaried,0,0,49,adulting,no,no
66,71255,19346,353,28,Female,Bachelors,Houston,Unemployed,0,0,27,senior,no,no
44,60220,12090,645,34,Male,Bachelors,Houston,Unemployed,0,1,20,adulting,no,no
59,52315,21273,823,8,Male,Bachelors,Houston,Unemployed,1,1,40,middle_age,no,no
45,75679,14434,435,31,Male,Masters,Chicago,Salaried,0,1,19,adulting,no,no
33,47224,21609,629,26,Female,Masters,"New York",Unemployed,0,0,45,adulting,no,no
32,40707,6278,443,9,Female,"High School","New York",Salaried,0,0,15,adulting,no,no
64,52307,26458,735,24,Male,"High School",Houston,Unemployed,0,1,50,senior,no,no
68,61497,20266,581,32,Female,PhD,Houston,Salaried,0,0,32,senior,no,no
61,24233,37668,435,10,Female,"High School",Chicago,Self-Employed,0,0,155,senior,no,no
69,54273,30448,788,36,Female,Masters,"New York",Self-Employed,1,0,56,senior,no,no
20,62155,24529,700,8,Female,"High School","San Francisco",Unemployed,0,0,39,young,no,no
54,45955,19008,748,6,Female,"High School",Houston,Salaried,1,0,41,middle_age,no,no
68,66604,14163,569,6,Male,Masters,"San Francisco",Self-Employed,0,1,21,senior,no,no
24,59618,27539,316,33,Male,Bachelors,"San Francisco",Self-Employed,0,1,46,young,no,no
38,82121,18164,568,18,Female,Masters,"New York",Unemployed,0,0,22,adulting,no,no
26,38741,29347,781,19,Female,Masters,"San Francisco",Unemployed,0,0,75,young,no,no
56,62461,23207,518,24,Male,PhD,Houston,Salaried,0,1,37,middle_age,no,no
35,34740,23264,618,4,Male,PhD,Houston,Self-Employed,0,1,66,adulting,no,no
21,25770,24756,537,28,Male,Bachelors,Chicago,Salaried,0,1,96,young,no,no
42,19467,12643,844,26,Male,Bachelors,"New York",Salaried,0,1,64,adulting,no,no
31,58075,11823,584,24,Male,"High School","New York",Unemployed,0,1,20,adulting,no,no
67,52764,11546,336,36,Female,PhD,"San Francisco",Salaried,0,0,21,senior,no,no
26,42814,28380,402,14,Male,Masters,Houston,Salaried,0,1,66,young,no,no
43,23397,12434,729,3,Male,PhD,Houston,Self-Employed,0,1,53,adulting,no,no
19,39644,13431,538,13,Male,Masters,Chicago,Salaried,0,1,33,young,no,no
